"GDP.cap" "Pop.mid" "Pop.urb" "CO2.cap" "Pop"
"Algeria" 1785.071723 60.68126966 59.04 164168.334 30032758
"Angola" 656.4225592 50.40936817 48.84 6582.411 13500820
"Argentina" 7847.365742 61.93990137 89 141703.155 36504473
"Australia" 20715.53796 66.54071048 86.98 345600.387 18926000
"Bangladesh" 351.701852 58.6759378 22.86 24919.389 126397562
"Belarus" 1199.662889 67.11694439 69.6 58391.883 10035000
"Belgium" 21836.89833 65.72247561 97.04 104384.511 10226000
"Brazil" 3365.27421 64.54920446 80.52 302816.547 171335003
"Burkina Faso" 233.4469191 48.52893399 16.22 1087.911 10964997
"Cambodia" 270.1579435 54.9674015 16.36 523.809 12480529
"Cameroon" 664.3914717 53.23782788 49.06 3076.92 14553084
"Canada" 22256.63087 68.11581295 79.06 473222.97 30499200
"Chile" 4728.621932 64.63663134 85.6 62498.106 15222613
"China" 881.8523031 68.04939587 34.92 2814466.05 1253735000
"Colombia" 1965.664301 62.17796747 71.18 56373.57 41409843
"Congo, Dem. Rep." 94.46533788 50.22752986 29.52 2245.419 48958873
"Cote d'Ivoire" 660.6701086 53.36134941 42.68 7120.872 16382824
"Czech Republic" 5322.60442 69.46425225 74.12 108824.067 10283000
"Ecuador" 1278.542727 60.19719866 59.8 21600.711 12128650
"Egypt, Arab Rep." 1435.087307 59.13187828 42.56 124560.315 66015831
"Ethiopia" 118.5942937 51.51154029 14.7 5065.929 62782000
"France" 21776.42604 65.02373643 75.62 356889.753 58622514.48
"Germany" 22428.93934 68.12105905 75.08 791541.333 82087000
"Ghana" 246.7323668 54.94369711 43.24 6450.543 19434064
"Greece" 10079.00307 68.06436663 58.82 85329.585 10883000
"Guatemala" 1706.523848 51.76861237 44.7 8919.405 10910275
"Hungary" 4334.127839 68.26877558 64.72 57567.708 10237530
"India" 442.7618939 60.66721737 27.48 1103639.922 999016010.5
"Indonesia" 772.6257716 64.57765375 40.72 248014.404 203568332.7
"Iran, Islamic Rep." 1535.513985 58.83943961 63.4 274662.729 62736000
"Iraq" 1109.146102 54.22621392 68 70670.259 24360109
"Italy" 18611.54103 67.72156928 67.14 422391.519 56921550
"Japan" 35664.16443 68.47442899 65.08 1163497.005 126650000
"Kazakhstan" 1115.949678 65.00762584 56.22 112018.203 14928425.85
"Kenya" 420.8235116 52.73882725 19.56 10161.162 30011476
"Korea, Rep." 10117.20734 71.67748974 79.32 393567.372 46617000
"Madagascar" 235.3449196 52.12203328 25.9 1919.412 15727498
"Malawi" 153.094379 51.18849968 14.74 827.838 11211736
"Malaysia" 3689.874426 61.89655125 60.56 107890.002 22485745
"Mali" 207.3935248 48.82152789 27.42 538.461 11318359
"Mexico" 5647.055726 61.1700627 74.44 391614.993 96584488
"Morocco" 1199.760898 61.57521592 54.46 32831.469 27520669.04
"Mozambique" 211.4414687 52.63425043 29.8 1172.16 17525978
"Nepal" 216.6113252 55.33870391 12.9 3219.777 23881353
"Netherlands" 23635.59676 67.98507379 76 141454.071 15805000
"Niger" 160.2368849 49.0567141 16.12 1164.834 11383619
"Nigeria" 379.8525788 51.59343331 43.02 44739.882 114854306
"Pakistan" 521.7378989 54.47855495 32.84 100314.918 134790000
"Peru" 2027.091433 60.42881423 71.38 28216.089 25535638
"Philippines" 957.7193716 58.59918651 57.6 72886.374 74293462
"Poland" 4253.348786 68.1532646 61.66 314087.598 38658000
"Portugal" 10654.16945 67.67966907 53.74 60322.284 10174000
"Romania" 1615.929518 68.0260925 54.66 85150.098 22457994
"Russian Federation" 1613.698636 68.91483463 73.4 1420584.66 146309000
"Saudi Arabia" 8896.931375 57.48573794 79.58 231944.823 20198000
"Senegal" 421.8834293 51.82289774 40.44 3666.663 10091116
"Serbia and Montenegro" 770.5391502 66.83891599 51.56 36640.989 10633000
"South Africa" 2972.204329 62.61870741 56.42 331127.874 42923484.53
"Spain" 13845.50702 68.68101166 76.22 275278.113 39926250
"Sri Lanka" 809.0862053 66.73404138 15.84 8512.812 19043000
"Sudan" 360.4866663 55.95350675 35.14 5087.907 32210343
"Syrian Arab Republic" 1094.463315 55.96741935 50.04 48882.735 16387182
"Tanzania" 253.7968629 52.76209302 21.94 2538.459 34037979
"Thailand" 1925.373932 68.19787011 30.94 196732.404 60850548
"Turkey" 2799.816342 63.94546021 64.18 199732.401 66293000
"Uganda" 238.1362713 47.14533929 12.02 1388.277 23558219
"Ukraine" 594.2795407 67.72454332 67.08 316768.914 49673349.99
"United Kingdom" 23613.87007 64.94933968 89.32 536134.995 58732290.94
"United States" 33748.20662 65.93807821 78.74 5597617.113 279040000
"Uzbekistan" 543.3042256 57.70635439 37.52 117073.143 24400000
"Venezuela, RB" 4733.817924 61.3476841 90.46 162113.391 23867000
"Vietnam" 376.5879785 60.4095023 23.88 48252.699 77515000
"Yemen, Rep." 520.0404432 48.98095526 25.06 13882.77 17390102
"Zambia" 298.0732379 50.60009035 35.26 1816.848 10487051
"Zimbabwe" 643.9636606 53.66625832 33.38 16703.28 12475708
